tournament_name,tournament_page_link,tournament_logo_link,tournament_format,tournament_stage,match_format,match_status,team1_page_link,team1_logo_link,team1,team1_score,team2_score,team2,team2_logo_link,team2_page_link,match_begin_time_UTC+0,match_url
TC 2024 Fall,https://escorenews.com/ru/csgo/tipsport-cup-fall-2024,https://escorenews.com/media/event/_120/e8794.png,"Lower Bracket, Round 1",Group A,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/lan-party-hotel,https://escorenews.com/media/logo/_90/t98762.png,Lan Party Hotel,0,0,GLORE,https://escorenews.com/media/logo/_90/t84769.png,https://escorenews.com/ru/csgo/team/glore,2024-08-31 13:00:00,https://escorenews.com/ru/csgo/tipsport-cup-fall-2024/closed-qualifier/lan-party-hotel-vs-glore-545012
ESL Impact S6,https://escorenews.com/ru/csgo/esl-impact-league-season-6,https://escorenews.com/media/event/_120/e8585.png,Table,South America,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/furia-female,https://escorenews.com/media/logo/_90/t45159.png,FURIA Esports Fe,0,0,Capivaras,https://escorenews.com/media/logo/_90/t100435.png,https://escorenews.com/ru/csgo/team/capivaras,2024-09-04 20:30:00,https://escorenews.com/ru/csgo/esl-impact-league-season-6/south-america/furia-female-vs-capivaras-572229
WI S5,https://escorenews.com/ru/csgo/winline-insight-season-5,https://escorenews.com/media/event/_120/e9245.png,Table,Group Stage,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/permitta,https://escorenews.com/media/logo/_90/t93692.png,Permitta Esports,0,0,Nexus Gaming,https://escorenews.com/media/logo/_90/t5421.png,https://escorenews.com/ru/csgo/team/nexus,2024-08-31 11:00:00,https://escorenews.com/ru/csgo/winline-insight-season-5/group-stage/permitta-vs-nexus-572563
CCT S2 EU #11,https://escorenews.com/ru/csgo/cct-season-2-european-series-11,https://escorenews.com/media/event/_120/e9251.png,"Lower Bracket, Round 2",Group B,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/the-suspect,https://escorenews.com/media/logo/_90/t97435.png,The Suspect,0,0,GenOne,https://escorenews.com/media/logo/_90/t74857.png,https://escorenews.com/ru/csgo/team/genone,2024-08-31 11:00:00,https://escorenews.com/ru/csgo/cct-season-2-european-series-11/closed-qualifier/the-suspect-vs-genone-571463
ESL Impact S6,https://escorenews.com/ru/csgo/esl-impact-league-season-6,https://escorenews.com/media/event/_120/e8585.png,Table,South America,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/fluxo-demons,https://escorenews.com/media/logo/_90/t97028.png,Fluxo Demons,0,0,thekillaz,https://escorenews.com/media/logo/_90/t100366.png,https://escorenews.com/ru/csgo/team/thekillaz,2024-09-04 20:30:00,https://escorenews.com/ru/csgo/esl-impact-league-season-6/south-america/fluxo-demons-vs-thekillaz-572213
United21 S19,https://escorenews.com/ru/csgo/united21-season-19,https://escorenews.com/media/event/_120/e9289.png,"Upper Bracket, Round 1",Group B,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/unity-cze,https://escorenews.com/media/logo/_90/t95902.png,UNiTY esports,0,0,L&G,https://escorenews.com/media/logo/_90/t96409.png,https://escorenews.com/ru/csgo/team/lg,2024-09-02 10:30:00,https://escorenews.com/ru/csgo/united21-season-19/group-stage/unity-cze-vs-lg-572890
Prodigy Series #2,https://escorenews.com/ru/csgo/prodigy-series-2,https://escorenews.com/media/event/_120/e9281.png,"Upper Bracket, Round 1",Group D,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/young-ninjas,https://escorenews.com/media/logo/_90/t72454.png,Young Ninjas,0,0,Preasy Esport,https://escorenews.com/media/logo/_90/t96510.png,https://escorenews.com/ru/csgo/team/preasy-esport,2024-09-02 17:00:00,https://escorenews.com/ru/csgo/prodigy-series-2/group-stage-a/young-ninjas-vs-preasy-esport-572627
ESL Atlanta 2024,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024,https://escorenews.com/media/event/_120/e8439.png,"Lower Bracket, Round 2",Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/sashi,https://escorenews.com/media/logo/_90/t91242.png,Sashi Esport,0,0,Aurora Gaming,https://escorenews.com/media/logo/_90/t92538.png,https://escorenews.com/ru/csgo/team/aurora-rus,2024-08-30 13:30:00,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024/europe/sashi-vs-aurora-rus-535740
United21 S19,https://escorenews.com/ru/csgo/united21-season-19,https://escorenews.com/media/event/_120/e9289.png,"Upper Bracket, Round 1",Group A,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/kono-ecf,https://escorenews.com/media/logo/_90/t99370.png,kONO.ECF,0,0,Betclic Apogee Esports,https://escorenews.com/media/logo/_90/t100586.png,https://escorenews.com/ru/csgo/team/betclic-apogee-esports,2024-09-01 08:00:00,https://escorenews.com/ru/csgo/united21-season-19/group-stage/kono-ecf-vs-betclic-apogee-esports-572885
Prodigy Series #2,https://escorenews.com/ru/csgo/prodigy-series-2,https://escorenews.com/media/event/_120/e9281.png,"Upper Bracket, Round 1",Group C,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/young-gods,https://escorenews.com/media/logo/_90/t12810.png,Young Gods,0,0,GenOne,https://escorenews.com/media/logo/_90/t74857.png,https://escorenews.com/ru/csgo/team/genone,2024-09-02 14:00:00,https://escorenews.com/ru/csgo/prodigy-series-2/group-stage-a/young-gods-vs-genone-572622
United21 S19,https://escorenews.com/ru/csgo/united21-season-19,https://escorenews.com/media/event/_120/e9289.png,"Upper Bracket, Round 1",Group A,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/verdant,https://escorenews.com/media/logo/_90/t96745.png,Verdant,0,0,WOPA Esport,https://escorenews.com/media/logo/_90/t99444.png,https://escorenews.com/ru/csgo/team/wopa,2024-09-01 10:30:00,https://escorenews.com/ru/csgo/united21-season-19/group-stage/verdant-vs-wopa-572886
United21 S19,https://escorenews.com/ru/csgo/united21-season-19,https://escorenews.com/media/event/_120/e9289.png,"Upper Bracket, Round 1",Group B,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/illuminar-gaming,https://escorenews.com/media/logo/_90/t38810.png,Illuminar Gaming,0,0,Astralis Talent,https://escorenews.com/media/logo/_90/t71367.png,https://escorenews.com/ru/csgo/team/astralis-talent,2024-09-02 08:00:00,https://escorenews.com/ru/csgo/united21-season-19/group-stage/illuminar-gaming-vs-astralis-talent-572891
TC 2024 Fall,https://escorenews.com/ru/csgo/tipsport-cup-fall-2024,https://escorenews.com/media/event/_120/e8794.png,"Upper Bracket, Round 2",Group A,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/ep-genesis,https://escorenews.com/media/logo/_90/t98673.png,EP Genesis,0,0,AVEZ Esports,https://escorenews.com/media/logo/_90/t34889.png,https://escorenews.com/ru/csgo/team/avez,2024-08-30 13:00:00,https://escorenews.com/ru/csgo/tipsport-cup-fall-2024/closed-qualifier/ep-genesis-vs-avez-545011
PW Shanghai Major 2024,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024,https://escorenews.com/media/event/_120/e8281.png,Final,Southeast Asia Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/alter-ego,https://escorenews.com/media/logo/_90/t100206.png,Alter Ego,0,0,TBD,TBD,TBD,2024-08-30 12:00:00,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024/apac/alter-ego-vs-tbd-562775
