team_name,team_page_link,team_region,player_1,player_1_status,player_1_page_link,player_2,player_2_status,player_2_page_link,player_3,player_3_status,player_3_page_link,player_4,player_4_status,player_4_page_link,player_5,player_5_status,player_5_page_link,accomplishment_1,accomplishment_1_place,accomplishment_1_prize_pool,accomplishment_1_end_time,accomplishment_2,accomplishment_2_place,accomplishment_2_prize_pool,accomplishment_2_end_time,accomplishment_3,accomplishment_3_place,accomplishment_3_prize_pool,accomplishment_3_end_time,accomplishment_4,accomplishment_4_place,accomplishment_4_prize_pool,accomplishment_4_end_time,accomplishment_5,accomplishment_5_place,accomplishment_5_prize_pool,accomplishment_5_end_time,accomplishment_6,accomplishment_6_place,accomplishment_6_prize_pool,accomplishment_6_end_time,accomplishment_7,accomplishment_7_place,accomplishment_7_prize_pool,accomplishment_7_end_time,accomplishment_8,accomplishment_8_place,accomplishment_8_prize_pool,accomplishment_8_end_time,accomplishment_9,accomplishment_9_place,accomplishment_9_prize_pool,accomplishment_9_end_time,accomplishment_10,accomplishment_10_place,accomplishment_10_prize_pool,accomplishment_10_end_time,matches_played_in_the_last_year,matches_played_overall,winstreak
enterprise,https://escorenews.com/ru/csgo/team/enterprise,Europe,Sobol,stand-in,https://escorenews.com/ru/csgo/player/sobol,ex1st,stand-in,https://escorenews.com/ru/csgo/player/ex1st,bajmi,stand-in,https://escorenews.com/ru/csgo/player/bajmi,Demho,stand-in,https://escorenews.com/ru/csgo/player/demho,fr3nd,stand-in,https://escorenews.com/ru/csgo/player/fr3nd,EPL S18 – Division 1,4,$1000,2024-08-30,EPL S19 – Division 2,3,$1500,2024-07-26,EPL S17 – Division 1,4,$1000,2024-07-25,RCA EU,3,$5000,2024-06-17,YGP 2024,2,$5407,2024-06-13,EPL S16 – Division 1,3,$3000,2024-06-06,Compass 2024 Spring,9,$500,2024-05-02,PLE 2024 #1,2,$2465,2024-04-21,EPL S9 – Division 2,3,$1500,2023-07-27,YGP 2023,9,$1070,2023-06-07,131,541,2
party-astronauts,https://escorenews.com/ru/csgo/team/party-astronauts,North America,ben1337,active player,https://escorenews.com/ru/csgo/player/ben1337,WolfY,active player,https://escorenews.com/ru/csgo/player/WolfY-us,Infinite,active player,https://escorenews.com/ru/csgo/player/infinite,FaNg,active player,https://escorenews.com/ru/csgo/player/fang,cxzi,stand-in,https://escorenews.com/ru/csgo/player/cxzi,TWC 2024 – Closed Qualifier 2 Phase 2,2,$5000,2024-10-01,CCT S2 NA #2,5,$750,2024-08-19,ESL Jönköping 2024,7,$2000,2024-06-16,ECL S47 – North America,4,$7000,2024-06-10,BoomTV CF,2,$6250,2024-05-22,ESL Melbourne 2024,5,$3000,2024-04-28,ECL S46 – North America,3,$12500,2023-12-11,BLAST Fall Showdown 2023 – America,3,$7500,2023-10-08,ESL Katowice 2023,5,$3000,2023-06-11,ECL S45 – North America,7,$1250,2023-05-28,153,407,4
fluffy-aimers,https://escorenews.com/ru/csgo/team/fluffy-aimers,North America,MarKE,active player,https://escorenews.com/ru/csgo/player/marke,nooz,active player,https://escorenews.com/ru/csgo/player/nooz,Jason,active player,https://escorenews.com/ru/csgo/player/jason,slump,active player,https://escorenews.com/ru/csgo/player/slump,brett,stand-in,https://escorenews.com/ru/csgo/player/brett,ECL S47 – North America,12,$1200,2024-06-10,BoomTV CF,3,$3750,2024-05-22,ECL S46 – North America,7,$3000,2023-12-11,ECCС 2023 NA Final,5,$3000,2023-06-10,ECL S45 – North America,7,$1250,2023-05-28,,,,,,,,,,,,,,,,,,,,,112,132,2
team-liquid,https://escorenews.com/ru/csgo/team/liquid,North America,NAF,active player,https://escorenews.com/ru/csgo/player/naf-fly,jks,active player,https://escorenews.com/ru/csgo/player/jks,Twistzz,active player,https://escorenews.com/ru/csgo/player/twistzz,YEKINDAR,active player,https://escorenews.com/ru/csgo/player/yekindar,ultimate,active player,https://escorenews.com/ru/csgo/player/ultimate,IEM Cologne 2024,7,$24000,2024-08-18,BLAST Fall Groups 2024,1,$22500,2024-08-04,IEM Dallas 2024,7,$6000,2024-06-02,CCT S1 Global Finals,2,$100000,2024-05-23,EPL S19,5,$32000,2024-05-12,IEM Chengdu 2024,5,$10000,2024-04-14,BLAST Spring Showdown 2024,9,$5000,2024-03-10,BLAST Spring Groups 2024,7,$10500,2024-01-28,BLAST Fall Showdown 2023 – America,2,$12500,2023-10-08,EPL S18,17,$15000,2023-10-01,78,1100,2
yawara-esports,https://escorenews.com/ru/csgo/team/yawara-esports,South America,stAx,active player,https://escorenews.com/ru/csgo/player/stAx-pt,j0w,active player,https://escorenews.com/ru/csgo/player/j0w,lash,active player,https://escorenews.com/ru/csgo/player/lash,PremiuM,active player,https://escorenews.com/ru/csgo/player/premium,revoltz,active player,https://escorenews.com/ru/csgo/player/revoltz,GCL Série A April 2024,5,$128,2024-05-08,GCL Série A March 2024,4,$191,2024-04-01,GCL Série A February 2024,4,$192,2024-03-07,ECC Spring 2022 #5 – South America,2,$250,2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,55,96,–
lachampionsliga,https://escorenews.com/ru/csgo/team/lachampionsliga,South America,Hezz,active player,https://escorenews.com/ru/csgo/player/hezz,pavv,active player,https://escorenews.com/ru/csgo/player/pavv,dott1,active player,https://escorenews.com/ru/csgo/player/dott1,rzk,active player,https://escorenews.com/ru/csgo/player/rzk,castrz,active player,https://escorenews.com/ru/csgo/player/castrz,LL 2024 Pro,2,$547,2024-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,2
pain-academy,https://escorenews.com/ru/csgo/team/pain-academy,South America,deemO,active player,https://escorenews.com/ru/csgo/player/deemO,legy,active player,https://escorenews.com/ru/csgo/player/legy,hug1,active player,https://escorenews.com/ru/csgo/player/hug1,Tatu,active player,https://escorenews.com/ru/csgo/player/Tatu,Markz,active player,https://escorenews.com/ru/csgo/player/markz,GCL Série A April 2024,2,$492,2024-05-08,GCL Série A March 2024,3,$301,2024-04-01,GCL Série A February 2024,1,$1008,2024-03-07,GCL Série A January 2024,4,$191,2024-02-05,1X LATAM #1,2,$8000,2023-06-10,FiReLEAGUE 2023 Academy,2,$5000,2023-03-19,GCL Série A January 2023,1,$777,2023-02-11,GCL Série A November 2022,1,$754,2022-12-09,RedZone PRO 2022 S6,1,$945,2022-10-12,,,,,42,118,–
saw,https://escorenews.com/ru/csgo/team/saw,Europe,roman,active player,https://escorenews.com/ru/csgo/player/roman-pt,MUTiRiS,active player,https://escorenews.com/ru/csgo/player/mutiris,story,active player,https://escorenews.com/ru/csgo/player/story,ewjerkz,active player,https://escorenews.com/ru/csgo/player/ewjerkz,arrozdoce,active player,https://escorenews.com/ru/csgo/player/arrozdoce,IEM Cologne 2024,3,$80000,2024-08-18,CCT S2 EU #6,3,$5000,2024-07-28,BLAST Spring Final 2024,7,$10000,2024-06-16,ECL S47 – Europe,7,$6500,2024-06-10,EPL S19,17,$12000,2024-05-12,PGL Major Copenhagen 2024,17,$10000,2024-03-31,BLAST Spring Showdown 2024,1,$20000,2024-03-10,RAC 2024,1,,2024-02-04,Compass 2023 Fall,9,$500,2023-12-13,ECL S46 – Europe,11,$3500,2023-12-11,115,655,7
mouz,https://escorenews.com/ru/csgo/team/mouz,Europe,Brollan,active player,https://escorenews.com/ru/csgo/player/brollan,torzsi,active player,https://escorenews.com/ru/csgo/player/torzsi,Jimpphat,active player,https://escorenews.com/ru/csgo/player/jimpphat,siuhy,active player,https://escorenews.com/ru/csgo/player/siuhy,xertioN,active player,https://escorenews.com/ru/csgo/player/xertionic,BBD Belgrade 2024 #2,3,$50000,2024-09-01,IEM Cologne 2024,3,$80000,2024-08-18,EWC 2024,3,$85000,2024-07-21,IEM Dallas 2024,9,$5000,2024-06-02,BBD Belgrade 2024 #1,1,$300000,2024-05-19,EPL S19,1,$170000,2024-05-12,IEM Chengdu 2024,2,$42000,2024-04-14,PGL Major Copenhagen 2024,5,$45000,2024-03-31,IEM Katowice 2024,3,$80000,2024-02-11,BLAST World Final 2023,3,$85000,2023-12-17,78,1248,2
team-spirit,https://escorenews.com/ru/csgo/team/spirit,Europe,chopper,active player,https://escorenews.com/ru/csgo/player/chopper,sh1ro,active player,https://escorenews.com/ru/csgo/player/sh1ro,magixx,active player,https://escorenews.com/ru/csgo/player/magixx,zont1x,active player,https://escorenews.com/ru/csgo/player/zont1x,donk,active player,https://escorenews.com/ru/csgo/player/donk,BBD Belgrade 2024 #2,1,$250000,2024-09-01,IEM Cologne 2024,13,$10000,2024-08-18,BLAST Fall Groups 2024,1,$22500,2024-08-04,EWC 2024,5,$40000,2024-07-21,BLAST Spring Final 2024,1,$200000,2024-06-16,IEM Dallas 2024,3,$20000,2024-06-02,BBD Belgrade 2024 #1,2,$100000,2024-05-19,PGL Major Copenhagen 2024,5,$45000,2024-03-31,BLAST Spring Showdown 2024,1,$20000,2024-03-10,IEM Katowice 2024,1,$400000,2024-02-11,90,846,2
9ine-academy,https://escorenews.com/ru/csgo/team/9ine-academy,Europe,Hypex,active player,https://escorenews.com/ru/csgo/player/hypex,KukuBambo,active player,https://escorenews.com/ru/csgo/player/kukubambo,LK,stand-in,https://escorenews.com/ru/csgo/player/55350,okand,stand-in,https://escorenews.com/ru/csgo/player/okand,DeeP,stand-in,https://escorenews.com/ru/csgo/player/96194,Prodigy Series #2,3,$1500,2024-08-28,PLE 2024 #1,5,$739,2024-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,35,–
ruby,https://escorenews.com/ru/csgo/team/ruby,CIS,Chill,active player,https://escorenews.com/ru/csgo/player/chill,Sowalio,active player,https://escorenews.com/ru/csgo/player/sowalio,Kaide,active player,https://escorenews.com/ru/csgo/player/116743,Something,active player,https://escorenews.com/ru/csgo/player/something,mo0N,active player,https://escorenews.com/ru/csgo/player/mo0n,RCA CIS,1,$30000,2024-06-16,ESEA Advanced S49 – Europe,3,$3300,2024-06-11,CCT S2 EU #2,5,$2000,2024-05-12,ESEA Advanced S48 – Europe,4,$2000,2024-03-25,,,,,,,,,,,,,,,,,,,,,,,,,80,80,2
team-spirit-academy,https://escorenews.com/ru/csgo/team/team-spirit-academy,Europe,robo,active player,https://escorenews.com/ru/csgo/player/robo-rus,syph0,active player,https://escorenews.com/ru/csgo/player/syph0-kaz,alkarenn,active player,https://escorenews.com/ru/csgo/player/alkarenn,kyousuke,active player,https://escorenews.com/ru/csgo/player/kyousuke,Mokuj1n,active player,https://escorenews.com/ru/csgo/player/mokuj1n,RCA CIS,3,$5000,2024-06-16,EPL S13 – Division 2,1,$5000,2024-02-09,ESEA Open S46 – Europe,1,$1000,2023-10-09,ECL S45 – Europe,2,$11500,2023-05-28,CCT S1 WEU #3,5,$2000,2023-05-04,CCT S1 CEU #5,2,$10000,2023-03-31,ECL S44 – Relegation,1,,2023-03-27,CCT S1 WEU #2,3,$5000,2023-03-23,ESEA Advanced S44 – Europe,5,$1250,2023-03-21,SCL S8 – Challenger,2,$1603,2023-02-27,67,366,8
andromeda,https://escorenews.com/ru/csgo/team/andromeda,Europe,KanoO,active player,https://escorenews.com/ru/csgo/player/KanoO,TDH1,active player,https://escorenews.com/ru/csgo/player/TDH1,WILDCHASER,active player,https://escorenews.com/ru/csgo/player/WILDCHASER,heysek,active player,https://escorenews.com/ru/csgo/player/heysek,kjuK,stand-in,https://escorenews.com/ru/csgo/player/kjuk,Sazka 2022 Winter,5,$426,2022-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,2
furia-esports,https://escorenews.com/ru/csgo/team/furia,South America,FalleN,active player,https://escorenews.com/ru/csgo/player/fallen,chelo,active player,https://escorenews.com/ru/csgo/player/chelo,yuurih,active player,https://escorenews.com/ru/csgo/player/yuurih,KSCERATO,active player,https://escorenews.com/ru/csgo/player/kscerato,skullz,active player,https://escorenews.com/ru/csgo/player/skullz,BBD Belgrade 2024 #2,5,$20000,2024-09-01,BBD Belgrade 2024 #2 – Group Stage,1,$10000,2024-09-01,IEM Cologne 2024,13,$10000,2024-08-18,EWC 2024,5,$40000,2024-07-21,Compass 2024,3,$28000,2024-06-09,CCT S2 EU #4,2,$10000,2024-06-02,CCT S2 EU #3,5,$2000,2024-05-26,EPL S19,17,$12000,2024-05-12,GET Rio 2024,5,$5000,2024-04-20,IEM Chengdu 2024,9,$5000,2024-04-14,88,507,2
eternal-fire,https://escorenews.com/ru/csgo/team/eternal-fire,Europe,XANTARES,active player,https://escorenews.com/ru/csgo/player/xantaress,woxic,active player,https://escorenews.com/ru/csgo/player/woxic,Calyx,active player,https://escorenews.com/ru/csgo/player/calyx,MAJ3R,active player,https://escorenews.com/ru/csgo/player/maj3r,Wicadia,active player,https://escorenews.com/ru/csgo/player/wicadia,BBD Belgrade 2024 #2,2,$125000,2024-09-01,IEM Cologne 2024,17,$4500,2024-08-18,SC 2024,3,$35000,2024-07-28,Compass 2024,9,$8000,2024-06-09,CCT S1 Global Finals,1,$250000,2024-05-23,EPL S19,21,$7000,2024-05-12,PGL Major Copenhagen 2024,5,$45000,2024-03-31,IEM Katowice 2024,9,$16000,2024-02-11,ESL Jönköping 2023,2,$20000,2023-11-26,"PARI, Please",2,$20000,2023-11-20,87,371,–
ence-esports,https://escorenews.com/ru/csgo/team/ence,Europe,gla1ve,active player,https://escorenews.com/ru/csgo/player/gla1ve,sdy,active player,https://escorenews.com/ru/csgo/player/somedieyoung,Goofy,active player,https://escorenews.com/ru/csgo/player/goofy,Kylar,active player,https://escorenews.com/ru/csgo/player/kylar,podi,active player,https://escorenews.com/ru/csgo/player/podi,CCT S2 EU #7,5,$2000,2024-08-06,SC 2024,5,$15000,2024-07-28,ESL Jönköping 2024,3,$10000,2024-06-16,Compass 2024,9,$8000,2024-06-09,CCT S1 Global Finals,5,$12500,2024-05-23,EPL S19,21,$7000,2024-05-12,SM 2024,7,$15000,2024-04-14,PGL Major Copenhagen 2024,20,$10000,2024-03-31,IEM Katowice 2024,5,$40000,2024-02-11,BLAST World Final 2023,7,$15000,2023-12-17,80,647,2
gamerlegion,https://escorenews.com/ru/csgo/team/gamerlegion,Europe,ztr,active player,https://escorenews.com/ru/csgo/player/ztr,volt,active player,https://escorenews.com/ru/csgo/player/volt,aNdu,active player,https://escorenews.com/ru/csgo/player/andu,sl3nd,active player,https://escorenews.com/ru/csgo/player/sl3nd,FL4MUS,active player,https://escorenews.com/ru/csgo/player/fl4mus,CCT S2 EU #10,2,$10000,2024-09-08,BLAST Fall Showdown 2024,9,$5000,2024-08-25,CCT S2 EU #8,3,$5000,2024-08-18,BLAST Fall Groups 2024,13,$5000,2024-08-04,RCA EU,3,$5000,2024-06-17,CCT S1 Global Finals,3,$50000,2024-05-23,EPL S19,13,$17500,2024-05-12,PGL Major Copenhagen 2024,17,$10000,2024-03-31,BLAST Spring Showdown 2024,9,$5000,2024-03-10,IEM Katowice 2024,9,$16000,2024-02-11,83,575,–
monte,https://escorenews.com/ru/csgo/team/monte,Europe,dycha,active player,https://escorenews.com/ru/csgo/player/dycha,KEi,active player,https://escorenews.com/ru/csgo/player/kei,hades,active player,https://escorenews.com/ru/csgo/player/hades-pl,DemQQ,active player,https://escorenews.com/ru/csgo/player/demqq,kRaSnaL,active player,https://escorenews.com/ru/csgo/player/krasnal,CCT S2 EU #10,5,$2000,2024-09-08,CCT S2 EU #6,3,$5000,2024-07-28,ECL S48 – Europe,15,$2000,2024-07-15,CCT S2 EU #5,3,$5000,2024-06-16,ECL S47 – Europe,9,$4000,2024-06-10,IEM Dallas 2024,13,$4000,2024-06-02,RES EU S4,3,$12500,2024-05-22,EI 2024 Spring,3,$2000,2024-05-18,EPL S19,13,$17500,2024-05-12,GET Rio 2024,7,$5000,2024-04-20,143,349,–
9pandas,https://escorenews.com/ru/csgo/team/9pandas,CIS,iDISBALANCE,active player,https://escorenews.com/ru/csgo/player/idisbalance,glowiing,active player,https://escorenews.com/ru/csgo/player/glowiing,shalfey,active player,https://escorenews.com/ru/csgo/player/shalfey,d1Ledez,active player,https://escorenews.com/ru/csgo/player/d1ledez,r3salt,active player,https://escorenews.com/ru/csgo/player/r3salt,HellCup #10,5,$127,2024-08-11,ECL S47 – Europe,9,$5000,2024-06-10,CCT S2 EU #3,1,$22000,2024-05-26,CCT S2 EU #2,3,$5000,2024-05-12,HellCup #9,5,$532,2024-05-09,CCT S2 EU #1,3,$5000,2024-05-04,Compass 2023 Fall,9,$500,2023-12-13,ECL S46 – Relegation,5,,2023-12-11,CCT S1 Finals #5,4,$15000,2023-12-07,LхT S2,7,$1000,2023-11-21,138,288,–
cloud9,https://escorenews.com/ru/csgo/team/cloud9,Europe,Boombl4,active player,https://escorenews.com/ru/csgo/player/boombl4,interz,active player,https://escorenews.com/ru/csgo/player/interz,Ax1Le,active player,https://escorenews.com/ru/csgo/player/ax1le,ICY,active player,https://escorenews.com/ru/csgo/player/icy,HeavyGod,active player,https://escorenews.com/ru/csgo/player/heavygod,TWC 2024 – Closed Qualifier 2,1,$20000,2024-10-01,BLAST Fall Showdown 2024,9,$5000,2024-08-25,BLAST Fall Groups 2024,13,$5000,2024-08-04,IEM Chengdu 2024,9,$5000,2024-04-14,PGL Major Copenhagen 2024,5,$45000,2024-03-31,BLAST Spring Showdown 2024,5,$7500,2024-03-10,IEM Katowice 2024,13,$10000,2024-02-11,BLAST Spring Groups 2024,9,$8500,2024-01-28,BLAST World Final 2023,5,$25000,2023-12-17,BLAST Fall Final 2023,3,$40000,2023-11-26,82,1029,5
case-esports,https://escorenews.com/ru/csgo/team/case,South America,yepz,active player,https://escorenews.com/ru/csgo/player/yepz,RICIOLI,active player,https://escorenews.com/ru/csgo/player/ricioli,bsd,active player,https://escorenews.com/ru/csgo/player/bsd,urban0,active player,https://escorenews.com/ru/csgo/player/urban0,nyezin,active player,https://escorenews.com/ru/csgo/player/nyezin,CEF 2024,3,$4499,2024-08-16,CEF 2024 – Open Qualifier 2,3,$187,2024-08-16,United21 SA S2,3,$1000,2024-08-13,KL 2024,3,$2699,2024-07-28,Dust2 BR S3,2,$2148,2024-06-19,ECL S47 – South America,13,$600,2024-06-10,EPL World AM S8,1,$3500,2024-05-21,CBCS S4,5,$997,2024-05-19,RES LATAM S2,3,$5000,2024-03-14,EPL World AM S5,2,$1500,2023-12-23,256,501,–
imperial-esports,https://escorenews.com/ru/csgo/team/imperial-bra,South America,felps,active player,https://escorenews.com/ru/csgo/player/felps,VINI,active player,https://escorenews.com/ru/csgo/player/vini,try,active player,https://escorenews.com/ru/csgo/player/try,decenty,active player,https://escorenews.com/ru/csgo/player/decenty,noway,active player,https://escorenews.com/ru/csgo/player/noway,TWC 2024 – Closed Qualifier 1,1,$20000,2024-10-01,IEM Cologne 2024,21,$2500,2024-08-18,FiReLEAGUE 2023 Finals,7,$1500,2024-06-17,CCT S2 SA #1,3,$1500,2024-06-11,ECL S47 – South America,1,$20000,2024-06-10,EPL S19,29,$3500,2024-05-12,GET Rio 2024,2,$50000,2024-04-20,RES LATAM S3,2,$15000,2024-04-15,PGL Major Copenhagen 2024,12,$20000,2024-03-31,BLAST Spring Showdown 2024,9,$5000,2024-03-10,163,465,10
red-canids,https://escorenews.com/ru/csgo/team/red-canids,South America,HEN1,active player,https://escorenews.com/ru/csgo/player/hen1,coldzera,active player,https://escorenews.com/ru/csgo/player/coldzera,nython,active player,https://escorenews.com/ru/csgo/player/nython,dav1deuS,active player,https://escorenews.com/ru/csgo/player/dav1deuS,venomzera,active player,https://escorenews.com/ru/csgo/player/venomzera,CBCS S5,3,$1800,2024-07-14,FiReLEAGUE 2023 Finals,5,$1500,2024-06-17,CCT S2 SA #1,5,$750,2024-06-11,ECL S47 – South America,2,$11500,2024-06-10,CBCS S4,1,$9970,2024-05-19,EPL World AM S7,1,$3500,2024-03-18,RES LATAM S2,2,$15000,2024-03-14,CCT S1 Finals #5,7,$5000,2023-12-07,EPL World AM S4,1,$3500,2023-11-20,Copa BB,1,$18000,2023-11-05,167,332,4
gaimin-gladiators,https://escorenews.com/ru/csgo/team/gaimin-gladiators,Europe,Nodios,active player,https://escorenews.com/ru/csgo/player/nodios,Queenix,active player,https://escorenews.com/ru/csgo/player/queenix,roeJ,active player,https://escorenews.com/ru/csgo/player/roej,nicoodoz,active player,https://escorenews.com/ru/csgo/player/nicoodoz,kraghen,active player,https://escorenews.com/ru/csgo/player/kraghen,TWC 2024 – Closed Qualifier 1,2,$5000,2024-10-01,EI 2024 Spring,5,$1000,2024-05-18,HellCup #9,5,$532,2024-05-09,CCT S2 EU #1,5,$2000,2024-05-04,Compass 2024 Spring,5,$1000,2024-05-02,ECC Summer 2022 #5 – North America,1,$4000,2022-09-18,ECC Summer 2022 #4 – North America,2,$2000,2022-08-14,ECC Summer 2022 #3 – North America,1,$4000,2022-08-01,ECL S41 – North America,3,$7000,2022-06-27,ECC Spring 2022 #6 – North America,2,$2000,2022-06-12,51,123,4
koi,https://escorenews.com/ru/csgo/team/koi,Europe,JUST,active player,https://escorenews.com/ru/csgo/player/just,mopoz,active player,https://escorenews.com/ru/csgo/player/mopoz,stadodo,active player,https://escorenews.com/ru/csgo/player/stadodo,dav1g,active player,https://escorenews.com/ru/csgo/player/dav1g,adamS,active player,https://escorenews.com/ru/csgo/player/adams,EPL S20,29,$3500,2024-09-03,ECL S48 – Europe,15,$1500,2024-07-15,FiReLEAGUE 2023 Finals,3,$7000,2024-06-17,ECL S47 – Europe,2,$12000,2024-06-10,PGL Major Copenhagen 2024,23,$10000,2024-03-31,,,,,,,,,,,,,,,,,,,,,77,77,6
betboom-team,https://escorenews.com/ru/csgo/team/betboom,CIS,nafany,active player,https://escorenews.com/ru/csgo/player/nafany,zorte,active player,https://escorenews.com/ru/csgo/player/zorte,KaiR0N-,active player,https://escorenews.com/ru/csgo/player/kair0n,s1ren,active player,https://escorenews.com/ru/csgo/player/s1ren,Magnojez,active player,https://escorenews.com/ru/csgo/player/magnojez,CCT S2 EU #8,1,$22000,2024-08-18,Compass 2024,5,$20000,2024-06-09,CCT S2 EU #3,5,$2000,2024-05-26,CCT S1 Global Finals,5,$12500,2024-05-23,EPL S19,13,$17500,2024-05-12,CCT S2 EU #2,2,$10000,2024-05-12,CCT S2 EU #1,2,$10000,2024-05-04,Compass 2024 Spring,5,$1000,2024-05-02,A1 GL S8,1,$8367,2024-04-14,SM 2024,3,$52500,2024-04-14,110,124,2
berlin-international-gaming,https://escorenews.com/ru/csgo/team/big,Europe,tabseN,active player,https://escorenews.com/ru/csgo/player/tabsen,syrsoN,active player,https://escorenews.com/ru/csgo/player/syrson,JDC,active player,https://escorenews.com/ru/csgo/player/jdc,rigoN,active player,https://escorenews.com/ru/csgo/player/rigon,Krimbo,active player,https://escorenews.com/ru/csgo/player/krimbo,BLAST Fall Showdown 2024,5,$7500,2024-08-25,IEM Cologne 2024,17,$4500,2024-08-18,BLAST Fall Groups 2024,9,$8500,2024-08-04,CCT S2 EU #5,5,$2000,2024-06-16,Compass 2024,11,$8000,2024-06-09,IEM Dallas 2024,7,$6000,2024-06-02,EPL S19,13,$17500,2024-05-12,SM 2024,4,$35000,2024-04-14,BLAST Spring Showdown 2024,5,$7500,2024-03-10,IEM Katowice 2024,17,$4500,2024-02-11,95,891,2
heroic,https://escorenews.com/ru/csgo/team/heroic,Europe,NertZ,active player,https://escorenews.com/ru/csgo/player/nertz,sjuush,active player,https://escorenews.com/ru/csgo/player/sjuush,degster,active player,https://escorenews.com/ru/csgo/player/degster,TeSeS,active player,https://escorenews.com/ru/csgo/player/teses,kyxsan,active player,https://escorenews.com/ru/csgo/player/kyxsan,BBD Belgrade 2024 #2,7,$5000,2024-09-01,BLAST Fall Showdown 2024,9,$5000,2024-08-25,IEM Cologne 2024,17,$4500,2024-08-18,BLAST Fall Groups 2024,9,$8500,2024-08-04,Compass 2024,7,$8000,2024-06-09,IEM Dallas 2024,5,$10000,2024-06-02,BBD Belgrade 2024 #1,3,$50000,2024-05-19,EPL S19,21,$7000,2024-05-12,IEM Chengdu 2024,7,$6000,2024-04-14,PGL Major Copenhagen 2024,12,$20000,2024-03-31,90,963,2
3dmax,https://escorenews.com/ru/csgo/team/3dmax,Europe,Lucky,active player,https://escorenews.com/ru/csgo/player/lucky-fr,Maka,active player,https://escorenews.com/ru/csgo/player/maka,Ex3rcice,active player,https://escorenews.com/ru/csgo/player/ex3rcice,Djoko,active player,https://escorenews.com/ru/csgo/player/djoko,Graviti,active player,https://escorenews.com/ru/csgo/player/graviti,EPL S20,17,$12000,2024-09-03,IEM Cologne 2024,21,$2500,2024-08-18,SC 2024,1,$120000,2024-07-28,RCA EU,2,$10000,2024-06-17,CCT S2 EU #5,2,$10000,2024-06-16,ECL S47 – Europe,5,$7000,2024-06-10,CCT S2 EU #4,5,$2000,2024-06-02,CCT S2 EU #3,5,$2000,2024-05-26,EPL S19,9,$23500,2024-05-12,Compass 2024 Spring,3,$1500,2024-05-02,115,336,–
team-falcons,https://escorenews.com/ru/csgo/team/falcons,Europe,dupreeh,active player,https://escorenews.com/ru/csgo/player/dupreeh,Snappi,active player,https://escorenews.com/ru/csgo/player/snappi,Magisk,active player,https://escorenews.com/ru/csgo/player/magisk,Maden,active player,https://escorenews.com/ru/csgo/player/maden,SunPayus,active player,https://escorenews.com/ru/csgo/player/sunpayus,BBD Belgrade 2024 #2,7,$5000,2024-09-01,BLAST Fall Showdown 2024,1,$20000,2024-08-25,IEM Cologne 2024,9,$16000,2024-08-18,BLAST Fall Groups 2024,9,$8500,2024-08-04,ESL Jönköping 2024,2,$20000,2024-06-16,IEM Dallas 2024,9,$5000,2024-06-02,BBD Belgrade 2024 #1,3,$50000,2024-05-19,EPL S19,21,$7000,2024-05-12,BLAST Spring Showdown 2024,9,$5000,2024-03-10,IEM Katowice 2024,3,$80000,2024-02-11,78,218,5
ninjas-in-pyjamas,https://escorenews.com/ru/csgo/team/ninjas-in-pyjamas,Europe,alex,active player,https://escorenews.com/ru/csgo/player/alex-es,REZ,active player,https://escorenews.com/ru/csgo/player/rez,isak,active player,https://escorenews.com/ru/csgo/player/isak,r1nkle,active player,https://escorenews.com/ru/csgo/player/r1nkle,maxster,active player,https://escorenews.com/ru/csgo/player/maxster,EPL S20,21,$7000,2024-09-03,BLAST Fall Showdown 2024,9,$5000,2024-08-25,BLAST Fall Groups 2024,7,$10500,2024-08-04,FiReLEAGUE 2023 Finals,3,$7000,2024-06-17,Compass 2024,2,$56000,2024-06-09,EPL S19,17,$12000,2024-05-12,SM 2024,5,$26250,2024-04-14,BLAST Spring Showdown 2024,9,$5000,2024-03-10,BLAST Spring Groups 2024,9,$8500,2024-01-28,SC 2023,3,$6710,2023-12-03,74,1303,3
the-mongolz,https://escorenews.com/ru/csgo/team/mongolz,SEA & Oceania,bLitz,active player,https://escorenews.com/ru/csgo/player/blitz,Techno,active player,https://escorenews.com/ru/csgo/player/techno,Senzu,active player,https://escorenews.com/ru/csgo/player/senzu,mzinho,active player,https://escorenews.com/ru/csgo/player/mzinho,910,active player,https://escorenews.com/ru/csgo/player/nine-one-zero,IEM Cologne 2024,9,$16000,2024-08-18,SC 2024,2,$70000,2024-07-28,EWC 2024,9,$25000,2024-07-21,ESL Jönköping 2024,5,$3000,2024-06-16,ECL S47 – Asia,11,$500,2024-06-10,Compass 2024,1,$200000,2024-06-09,MNM 2024 Spring,1,$50000,2024-06-02,EPL S19,9,$23500,2024-05-12,ESN NC 2024,1,$4348,2024-04-14,PGL Major Copenhagen 2024,15,$20000,2024-03-31,149,347,2
